City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
197,Tual,ID,83.34,light rain,-5.6667,132.75,Grand Vilia Hotel
202,Yaan,NG,77.65,overcast clouds,7.3833,8.5667,
204,Laguna,US,78.8,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
218,Panaba,MX,77.5,clear sky,21.2833,-88.2667,Posada rosario
220,Georgetown,MY,89.6,few clouds,5.4112,100.3354,Cititel Penang
221,Lorengau,PG,84.92,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
223,Taoudenni,ML,89.08,clear sky,22.6783,-3.9836,
224,Bryan,US,78.8,overcast clouds,30.6744,-96.37,Best Western Premier Bryan College Station
225,Oistins,BB,78.8,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
226,Gigmoto,PH,83.03,broken clouds,13.7796,124.39,Cj's Travellers Inn
228,Lazaro Cardenas,MX,76.8,overcast clouds,17.9583,-102.2,Hotel Quinta Antigua
230,Tarakan,ID,87.8,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
234,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
239,Nalut,LY,83.23,overcast clouds,30.3333,10.85,
243,Soyo,AO,78.51,overcast clouds,-6.1349,12.3689,Hotel Mpampa
244,Axim,GH,79.97,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
248,Mitsamiouli,KM,80.78,clear sky,-11.3847,43.2844,Foyer ADM
249,Angoche,MZ,76.64,light rain,-16.2325,39.9086,Guest House HESADA
256,Sabla,NG,84.74,scattered clouds,12.7525,4.7077,
257,Sawakin,SD,78.6,few clouds,19.1059,37.3321,فندق الدويم
261,Grand Gaube,MU,75.0,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
265,Ajdabiya,LY,76.24,clear sky,30.7554,20.2263,Almadina Hotel
273,Teahupoo,PF,84.0,broken clouds,-17.8333,-149.2667,Vanira Lodge
274,Urumqi,CN,75.2,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
278,Kavieng,PG,84.61,light rain,-2.5744,150.7967,Nusa Island Retreat
290,Sinnamary,GF,76.44,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
291,Dwarka,IN,83.59,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
292,Banda Aceh,ID,85.32,overcast clouds,5.5577,95.3222,Sulthan Hotel International
293,Bambanglipuro,ID,84.9,broken clouds,-7.95,110.2833,Puri Brata
295,Araouane,ML,85.66,broken clouds,18.9048,-3.5265,
298,Waingapu,ID,84.06,clear sky,-9.6567,120.2641,Pondok Wisata Elim
307,Houma,US,75.0,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
310,Faanui,PF,81.81,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
311,Esperance,AU,86.0,overcast clouds,-33.8667,121.9,Hospitality Esperance
312,Mubi,NG,79.83,overcast clouds,10.2676,13.2644,Hotel
313,Salalah,OM,84.2,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
314,Bilma,NE,81.88,clear sky,18.6853,12.9164,Expeditions Ténére voyages
317,Bubaque,GW,77.23,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
320,Hambantota,LK,84.2,scattered clouds,6.1241,81.1185,Bungalow 63
321,Ranong,TH,89.6,few clouds,9.9658,98.6348,Tinidee Hotel@Ranong
322,The Valley,AI,77.0,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
