City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
158,Ilulissat,GL,69.2167,-51.1,30.2,86,98,1.14,overcast clouds
159,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,69.55,52,92,6.17,overcast clouds
160,Moron,AR,-34.6534,-58.6198,64.0,89,67,5.08,broken clouds
161,Whitehorse,CA,60.7161,-135.0538,41.0,45,40,12.66,scattered clouds
162,Richards Bay,ZA,-28.783,32.0377,66.24,94,6,7.31,clear sky
163,Yulara,AU,-25.2406,130.9889,75.2,22,0,12.66,clear sky
164,Torbay,CA,47.6666,-52.7314,39.0,87,90,17.27,overcast clouds
165,Okakarara,NA,-20.5833,17.4333,60.17,47,1,4.5,clear sky
166,Moerai,PF,-22.4333,-151.3333,78.26,67,100,2.95,overcast clouds
167,Yacuiba,BO,-22.038,-63.6797,58.35,84,13,3.33,few clouds
168,Christchurch,NZ,-43.5333,172.6333,68.0,37,15,5.75,few clouds
169,Jiazi,CN,22.8779,116.067,78.82,61,85,3.47,overcast clouds
170,Bambous Virieux,MU,-20.3428,57.7575,77.0,88,75,12.66,moderate rain
171,Mana,GF,5.6592,-53.7767,76.66,90,100,8.9,moderate rain
172,Aleksandrovka,UA,46.8383,32.7612,46.4,76,0,8.95,clear sky
173,Alofi,NU,-19.0595,-169.9187,82.4,89,75,6.91,moderate rain
174,Liebling,RO,45.5775,21.3217,52.0,93,90,4.61,overcast clouds
175,Dunedin,NZ,-45.8742,170.5036,62.01,58,87,1.99,light rain
176,New Norfolk,AU,-42.7826,147.0587,66.99,78,55,5.01,broken clouds
177,Alagoinhas,BR,-12.1356,-38.4192,70.63,97,79,1.83,broken clouds
178,Luba,GQ,3.4568,8.5547,73.4,94,20,5.1,few clouds
179,Rio Grande,BR,-32.035,-52.0986,48.99,95,0,6.08,clear sky
180,Meulaboh,ID,4.1363,96.1285,83.08,74,92,2.48,overcast clouds
181,Thompson,CA,55.7435,-97.8558,24.8,46,20,3.06,few clouds
182,Kieta,PG,-6.2167,155.6333,81.1,79,100,1.61,light rain
183,Mahebourg,MU,-20.4081,57.7,77.0,88,75,12.66,light rain
184,Tampakan,PH,6.4442,124.9264,87.8,62,75,6.91,broken clouds
185,Stepnyak,KZ,52.8339,70.7803,54.1,56,100,10.16,overcast clouds
